uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,population,urban,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
265,4.70E+11,Austin-East Magnet High,4702220,Knox County,4/12/2021,2020-2021,2021,3:15 PM,Monday,"Knoxville, Tennessee",Tennessee,"190,740",Y,public,728,0,1,1,accidental,17,m,b,,1,,,,,,,,81,584,41,1,0,0,21,1,Glock 45 handgun,,35.9901,-83.887,59.3,9,12,472,Knox County,47,47093,12
270,2.73E+11,Ply_mouth Middle School,2731780,Robbinsdale Area Schools,4/26/2021,2020-2021,2021,8:44 AM,Monday,"Plymouth, Minnesota",Minnesota,"81,026",N,public,1001,0,0,0,indiscriminate,12,m,w,,,,,,,,,,454,262,163,35,5,0,82,0,handgun,father's bedroom,45.020964,-93.406233,36.5,6,8,397,Hennepin County,27,27053,13
271,1.00E+11,Smyrna Middle School,1001620,Smyrna School District,4/27/2021,2020-2021,2021,10:25 AM,Tuesday,"Smyrna, South Carolina",Delaware,55,N,public,984,1,0,1,targeted,47,m,b,,,,,,,,,,571,286,76,16,0,2,33,0,handgun,,39.302595,-75.623778,64,7,8,,Kent County,10,10001,41
272,3.60E+11,Urban Dove Team Charter School,3601065,Urban Dove Team Charter School,4/29/2021,2020-2021,2021,2:45 PM,Thursday,Brooklyn,New York,"2,641,052",Y,public,313,1,0,1,targeted,15,m,b,,,,16,m,b,,,,3,218,81,1,10,0,0,0,,,40.622473,-73.954975,24,10,12,268,Kings County,36,36047,11
273,1.81E+11,Mary Evelyn Castle Elementary School,1805670,Metropolitan School District of Lawrence Township,4/30/2021,2020-2021,2021,1:00 PM,Friday,Indianapolis,Indiana,"887,642",N,public,672,0,1,1,targeted,32,m,,,,,,,,,,,192,247,157,18,0,1,57,0,,,39.9081,-86.018,34,1,6,393,Marion County,18,18097,11
274,4.50E+11,Ware Shoals High School,4502370,Greenwood 51,5/5/2021,2020-2021,2021,8:00 AM,Wednesday,"Ware Shoals, South Carolina",South Carolina,"1,701",N,public,272,0,0,0,public suicide,15,m,w,,1,suicide,,,,,,,212,36,16,0,0,0,8,0,handgun,mom's gun; kept in her car,34.393145,-82.238603,20,9,12,144,Greenwood County,45,45047,42
275,1.60E+11,Rigby Middle School,1601570,Jefferson County Joint District,5/6/2021,2020-2021,2021,9:00 AM,Thursday,"Rigby, Idaho",Idaho,"5,038",Y,public,1541,0,3,3,indiscriminate,,f,,student,,,,,,,,,1334,1,169,5,3,3,26,0,handgun,,43.668498,-111.941927,76.82,6,8,508,Jefferson County,16,16051,41
276,4.82E+11,North Forest High School,4823640,Houston Isd,6/9/2021,2020-2021,2021,10:30 AM,Wednesday,Houston,Texas,"2,304,580",Y,public,976,0,1,1,targeted,,,,,,,,,,,,,6,570,397,0,2,0,1,0,,,29.867029,-95.259744,58.28,9,12,931,Harris County,48,48201,11
285,540385,Saint Francis de Sales School,,,8/6/2021,2021-2022,2021,1:00 PM,Friday,"Houma, Louisiana",Louisiana,"33,406",N,private,660,0,1,1,targeted,17,m,b,,,,,,,,,,556,10,5,3,3,0,29,0,,,29.60752,-90.734161,35,PK,7,,Terrebonne County,22,22109,13
286,1.30E+11,Lithonia High School,1301740,Dekalb County,8/12/2021,2021-2022,2021,3:00 PM,Thursday,"Lithonia, Georgia",Georgia,"2,662",Y,public,1362,0,1,1,targeted,,,,resource officer,,,,,,,,,9,1253,74,2,2,1,21,1,handgun,,33.725,-84.1294,88.5,9,12,1075,Dekalb County,13,13089,21
287,3.50E+11,Washington Middle School,3500060,Albuquerque Public Schools,8/13/2021,2021-2022,2021,12:45 PM,Friday,"Albuquerque, New Mexico",New Mexico,"564,559",Y,public,442,1,0,1,targeted,13,m,,,,,,,,,,,14,6,407,4,5,1,5,0,handgun,,35.086144,-106.661691,34.4,6,8,442,Bernalillo County,35,35001,11
